nFID	lat	lon	location	name	last_at	time	city	gender	id	followers_count	friends_count	statuses_count	created_at	domain	status_id	status_text
144344	23.19431	113.42866	广东 广州	HoOd丶	2014/5/2 0:00	0:00:00	1	m	3420092060	173	130	14	Sun May 05 21:37:18 +0800 2013		3.76748E+15	急出配件 vision飞机把  自带价格  9新   @bike坐管  150    @闲置死飞 帮帮忙
73196	23.03883	113.1222	广东 佛山	H-固执不是唯一-R	2014/5/2 0:00	0:00:00	6	f	2654855251	447	227	459	Fri Mar 09 18:34:02 +0800 2012		3.75867E+15	原谅我土鳖??????现在才知道原来学校里面有WiFi??????
76161	23.03883	113.1222	广东 佛山	H-固执不是唯一-R	2014/5/2 0:00	0:00:00	6	f	2654855251	448	227	459	Fri Mar 09 18:34:02 +0800 2012		3.75867E+15	原谅我土鳖??????现在才知道原来学校里面有WiFi??????
144351	23.16851	113.36277	广东 广州	Jeam-hjh	2014/5/2 0:00	0:00:00	1	m	3848817549	42	391	790	Sat Oct 12 19:50:07 +0800 2013		3.76806E+15	又到珠海 http://t.cn/R7thRkJ
106574	23.06233	113.58884	广东 东莞	Jeffree_Mo	2014/5/2 0:00	0:00:00	19	m	1905742355	149	108	265	Wed Dec 29 12:03:59 +0800 2010		3.73161E+15	我和大佬有个约会…好久无体电影啦…第一次同大佬去体IMAX…吾知几时开始自己变得宅左…所有野都变得两点一线…做野-训觉-做野…究竟系环境改变左我定系我改变左环境…anyway…keep moving…anything will be the last… http://t.cn/RPvzaXr
21299	22.72709	112.92679	广东 江门	Justine_	2014/5/2 0:00	0:00:00	7	f	1996732431	360	65	3802	Sun Feb 27 23:10:35 +0800 2011		3.76789E+15	我对这个看脸的世界绝望了[泪流满面]//@carl_輝:对这看颜的世界好绝望[拜拜][拜拜][拜拜]
53383	23.028	113.054	广东	kate洗剪吹	2014/5/2 0:00	0:00:00	1000	m	2656469867	9	13	841	Thu Mar 08 20:27:23 +0800 2012		3.70557E+15	忙了一天、下班头就开始痛了[泪][泪][泪] 我在:http://t.cn/8FcmgWz
36374	22.83648	113.25989	广东 佛山	lavender的名单	2014/5/2 0:00	0:00:00	6	f	2855031870	225	260	584	Fri Jun 29 13:02:24 +0800 2012		3.76718E+15	转发微博
166655	23.24892	113.34781	广东 广州	Layoiety	2014/5/2 0:00	0:00:00	1	f	2970464741	47	77	612	Wed Oct 03 13:21:42 +0800 2012	y646372548	3.76824E+15	→_→
179905	23.31233	113.8201	广东 广州	LLLLL晓君	2014/5/2 0:00	0:00:00	1	f	2622359287	46	41	26	Sat Feb 18 20:13:36 +0800 2012		3.70557E+15	咋地现在啥人都有咧？ 我在:http://t.cn/8s3y6LY
123974	23.18142	113.35446	广东 汕头	L日尧九日	2014/5/2 0:00	0:00:00	5	m	2489954655	109	108	340	Thu Nov 24 21:06:38 +0800 2011		3.76345E+15	黄金/美元：反弹修正，关注20日均线 | 技术分析 - DailyFX财经网-外汇牌价-汇率-即时报价-汇市走势分析 http://t.cn/RhkZ6PP 
81549	23.072	113.34988	广东 潮州	man_czt	2014/5/2 0:00	0:00:00	51	m	2457502711	244	164	1499	Thu Nov 10 20:52:28 +0800 2011		3.76823E+15	#魅族阿里发布会#我要妹纸4，土豪金 http://t.cn/8kRRrcZ
4884	22.61235	113.25064	广东 中山	naChan--	2014/5/2 0:00	0:00:00	20	f	1882640117	129	123	593	Sun Dec 05 01:26:37 +0800 2010	yulichan5	3.72546E+15	烦恼都是自找的吗？ http://t.cn/RvH9hPe
52005	22.83771	113.97193	广东	Piscel	2014/5/2 0:00	0:00:00	1000	m	1698649222	103	201	599	Tue Feb 23 10:33:17 +0800 2010		3.76748E+15	自己弄点东西吃也也好玩 http://t.cn/R7G17nA
81552	23.11389	113.2463	其他	sensesggg	2014/5/2 0:00	0:00:00	1000	f	1880291671	7217	549	54	Thu Dec 02 17:53:30 +0800 2010		3.7672E+15	 //@兰F_:校友[围观]
92888	23.11796	113.40131	广东 广州	simple秋p	2014/5/2 0:00	0:00:00	1	f	2083609195	253	173	699	Tue Apr 12 19:09:02 +0800 2011		3.76261E+15	#暖暖环游世界#
25903	22.68935	113.83779	广东 韶关	SUCCUBA-Huang瑶艳	2014/5/2 0:00	0:00:00	2	f	2509085024	2100	166	163	Wed Nov 02 11:48:24 +0800 2011		3.7679E+15	GD发型好可爱呢
31531	22.665	114.02999	广东 深圳	s许菲凡	2014/5/2 0:00	0:00:00	3	f	2932330743	26	80	153	Mon Oct 01 15:04:06 +0800 2012		3.76772E+15	分享一首iPhone铃声:非常好听的欧美女声，试听:http://t.cn/RheX9H4
107659	23.11496	113.64834	广东 广州	twelvexo_	2014/5/2 0:00	0:00:00	1	f	2675776812	383	264	3575	Sat Jan 21 00:25:05 +0800 2012		3.76742E+15	我去上学了 星期五回来的时候会看的[心] //@twelvexo_:帮忙扩一扩 看上的私信我[可怜][可怜]
41553	22.92124	113.21075	广东 佛山	Vampire_楚爷	2014/5/2 0:00	0:00:00	6	f	1980229947	300	879	9836	Sun Feb 20 19:05:03 +0800 2011		3.76816E+15	啊呀我们小骄傲！ //@Bright_star_张艺兴资源博:#张艺兴# #LAY#张MC加油！
117716	23.17904	113.23133	广东 广州	wen雯20	2014/5/2 0:00	0:00:00	1	f	2774255487	30	45	223	Fri Sep 14 10:04:15 +0800 2012		3.76529E+15	秋天～伤感的季节！！ http://t.cn/R7zQPh7
58359	23.00972	113.30017	广东 广州	xAngle嘜Ga	2014/5/2 0:00	0:00:00	1	f	1808438634	453	257	250	Wed Sep 08 10:53:54 +0800 2010	iamxmm	3.76211E+15	→_→谢谢你
117719	23.14874	113.23669	广东 汕尾	zYL-雅丽	2014/5/2 0:00	0:00:00	15	f	1639131931	759	202	1734	Sat May 07 23:07:25 +0800 2011		3.76523E+15	在家的可以试试
69180	22.95566	113.91508	其他	Z-炯明	2014/5/2 0:00	0:00:00	1000	m	2473775063	201	123	164	Fri Nov 18 13:40:54 +0800 2011		3.76422E+15	乖乖甲我坐了点钟[呵呵][哈哈]
39236	22.7906	113.53927	广东 广州	爱杰伦的小小婷	2014/5/2 0:00	0:00:00	1	f	1166534857	617	205	4238	Thu Sep 29 10:32:57 +0800 2011	laipiting	3.76745E+15	好想看电视[泪]
31533	22.61762	114.03817	广东 深圳	爱摩羯爱小宇	2014/5/2 0:00	0:00:00	3	m	3044829471	66	52	366	Sun Oct 14 21:04:43 +0800 2012		3.76791E+15	 //@坦克警卫队副队长:转发微博
67268	22.995	113.776	江苏 无锡	安安静静-----Zyp	2014/5/2 0:00	0:00:00	2	f	2729683405	240	198	516	Sat Apr 21 22:26:10 +0800 2012		3.76697E+15	狂长痘痘[悲伤][悲伤][悲伤]现在也是熊翻的省
65845	23.0171	113.71765	广东 深圳	碧Felicia	2014/5/2 0:00	0:00:00	3	f	3058536963	59	143	244	Fri Oct 19 17:49:13 +0800 2012		3.7666E+15	转
34728	22.77604	112.96512	广东 江门	标标标标标标子______	2014/5/2 0:00	0:00:00	7	m	3072402315	748	519	3684	Sun Oct 28 14:58:22 +0800 2012		3.76787E+15	转发微博
7066	22.55015	113.46431	广东 中山	-灿烈王ji	2014/5/2 0:00	0:00:00	20	f	3528517571	56	69	246	Tue Jun 11 12:32:53 +0800 2013		3.7675E+15	@微博Android客户端 #机型识别问题反馈#版本4.6.0 ，系统识别机型samsung-SM-G7106 ，系统4.3 ，WLAN。我正在使用的机型是：三星G7106 http://t.cn/R7GgxRJ
31530	22.61563	114.02679	广东 深圳	苍凉中的一朵花	2014/5/2 0:00	0:00:00	3	f	1859195280	268	106	1758	Wed Oct 20 22:35:23 +0800 2010		3.76806E+15	嗯
58363	22.9744	113.31169	广东 广州	春小贤	2014/5/2 0:00	0:00:00	1	f	1798566993	853	380	1681	Thu Aug 19 22:46:14 +0800 2010	smile212	3.76701E+15	转发微博
92877	23.0554	113.39129	浙江 杭州	大黄蜂喝可乐	2014/5/2 0:00	0:00:00	1	m	3551267373	36	61	117	Sat Jun 22 19:59:17 +0800 2013		3.73603E+15	转发微博
92887	23.1152	113.35937	广东 广州	黛莱美天使之魅代购	2014/5/2 0:00	0:00:00	1	f	2628839197	110	116	519	Tue Feb 14 13:06:33 +0800 2012		3.76835E+15	//@思埠吴召国:沙发
144353	23.1152	113.35937	广东 广州	黛莱美天使之魅代购	2014/5/2 0:00	0:00:00	1	f	2628839197	111	117	519	Tue Feb 14 13:06:33 +0800 2012		3.76835E+15	//@思埠吴召国:沙发
65844	23.017	113.72699	广东 东莞	邓锦锋1820	2014/5/2 0:00	0:00:00	19	m	5041581520	11	32	28	Thu Feb 20 15:38:45 +0800 2014		3.75389E+15	 http://t.cn/RhINWSu
58360	23.01184	113.32849	广东 广州	迪迦变身_登登登	2014/5/2 0:00	0:00:00	1	f	2814360290	369	279	37	Sun May 27 11:33:36 +0800 2012		3.73627E+15	[泪] 不见了
76154	23.117	113.18699	广东 佛山	屌丝求安全感	2014/5/2 0:00	0:00:00	6	f	5077008892	20	51	44	Wed Mar 19 08:21:35 +0800 2014		3.72004E+15	我真是太牛了，在微博踢球游戏中已经获得8分，球技出神入化，根本停不下来！长安福特翼虎一定是我的！#世界杯#加油！http://t.cn/8smOlg5
47449	22.81373	113.66456	其他	分萨	2014/5/2 0:00	0:00:00	1000	m	3982381855	6	32	37	Wed Jan 15 19:59:18 +0800 2014		3.73748E+15	注定了痛苦，只是可怜了最爱的人！ http://t.cn/RPcS0VP
174957	23.42784	113.18775	广东 广州	风吹_罩飞	2014/5/2 0:00	0:00:00	1	f	2693131930	357	345	890	Sun Jan 29 21:14:49 +0800 2012		3.76792E+15	转发微博
117723	23.1593	113.25669	广东 广州	贵族奢侈品招全国代理	2014/5/2 0:00	0:00:00	1	m	5061461443	660	1158	610	Fri Mar 07 03:40:02 +0800 2014		3.76665E+15	全面到货！??浪琴机械！??新款上市！太阳星星更形象的体现24小时，316精钢，蓝宝石镜面，底纹干净大方，采用金色雕花机芯，更为大气.高配置，性价比教高的一款！ http://t.cn/RPEInpB
186144	23.72714	113.00475	海外	晗熙爱咳嗽	2014/5/2 0:00	0:00:00	1000	f	5106356695	16	54	61	Sat Apr 12 14:43:51 +0800 2014		3.76785E+15	#网传TFboys将被“封杀”# 你觉得TFBoy应该被封杀吗？ 应该封杀，整天都是他们，烦死了！ 详情:http://t.cn/R7qrKrS
72578	23.06364	113.05821	广东 佛山	寒寒babylover	2014/5/2 0:00	0:00:00	6	f	2874010852	282	109	1925	Wed Jul 18 20:29:41 +0800 2012		3.76827E+15	懂我的人自然会懂我 http://t.cn/R7cUtdf
81543	23.12299	113.276	广东 广州	好好的卿	2014/5/2 0:00	0:00:00	1	f	2316978270	165	159	232	Tue Mar 27 19:17:55 +0800 2012	yibiqing	3.76092E+15	#我和国旗合个影#终于从黄山下山，两日徒步上下山，累爆我，在山上永远不要相信地图上的直线距离。 http://t.cn/zR7Bjd0
123952	23.12299	113.276	广东 广州	好好的卿	2014/5/2 0:00	0:00:00	1	f	2316978270	164	159	232	Tue Mar 27 19:17:55 +0800 2012	yibiqing	3.76092E+15	#我和国旗合个影#终于从黄山下山，两日徒步上下山，累爆我，在山上永远不要相信地图上的直线距离。 http://t.cn/zR7Bjd0
174955	23.407	113.218	四川 南充	幻想家康燕	2014/5/2 0:00	0:00:00	13	f	2101576942	439	2021	2505	Fri Apr 15 14:36:12 +0800 2011		3.7662E+15	转发微博
31529	22.671	114.024	湖北 黄石	黄敏525	2014/5/2 0:00	0:00:00	2	f	2185240155	477	193	1443	Sat Jun 18 17:38:15 +0800 2011		3.7682E+15	六千到手了，没有白白辛苦了[嘻嘻]
117709	23.1621	113.21242	广东 广州	黄紫瑜黄芷如	2014/5/2 0:00	0:00:00	1	f	1972327345	317	311	1634	Sat Jul 16 16:49:13 +0800 2011		3.76596E+15	期待//@Linda鍾嘉欣: 非常期待鍾韋恩的出現！ 飛虎二Oct.19星期日晚9pm見大家：）
123972	23.16457	113.27386	广东 广州	会同里快乐	2014/5/2 0:00	0:00:00	1	f	2171592992	50	84	349	Mon Jun 13 11:12:43 +0800 2011		3.7425E+15	转发微博
81554	23.13649	113.27181	广东 广州	金俊绵他婆娘	2014/5/2 0:00	0:00:00	1	f	1015525001	84	73	70	Tue Jul 03 22:36:03 +0800 2012		3.76538E+15	呵呵，祝自己生日快乐！成人礼哦！在医院度过！@Mr_凡先生 @M鹿M @努力努力再努力x @HZT-ao http://t.cn/z8Ax3a9
38254	22.80289	113.39006	广东 广州	开心点丶行吗	2014/5/2 0:00	0:00:00	1	m	2271418160	46	180	556	Wed Jul 27 18:40:42 +0800 2011		3.74236E+15	@小伙伴儿们 ，给你们推荐一款内存清理神器，快去下载吧！http://t.cn/8FypK16  http://t.cn/zRMfSRn
144359	23.19586	113.38003	广东 广州	老爸叫我碧爱吖	2014/5/2 0:00	0:00:00	1	f	3921191740	38	37	273	Wed Nov 27 22:37:14 +0800 2013		3.76843E+15	????只想私藏起来呢
48817	22.78709	113.77119	其他	冷静的梦想	2014/5/2 0:00	0:00:00	1000	m	3833663479	53	100	103	Sat Oct 05 00:47:47 +0800 2013		3.76789E+15	转发微博
81542	23.12039	113.31181	广东 广州	冷俊的熊猫GZ	2014/5/2 0:00	0:00:00	1	m	1844551661	185	103	6246	Tue Nov 02 12:53:25 +0800 2010		3.76803E+15	确实。没有长期规划，不可能提升
165383	23.30286	113.23101	广东 广州	林小翡	2014/5/2 0:00	0:00:00	1	f	5075370947	27	72	11	Mon Mar 17 17:46:59 +0800 2014		3.72695E+15	终于解放了 http://t.cn/z8AbXDc
117710	23.1593	113.25669	广东 广州	鹿八歲是柠檬的菜_	2014/5/2 0:00	0:00:00	1	f	2536150062	73	79	2763	Tue Nov 15 14:53:08 +0800 2011		3.76789E+15	#SuperJunior##金起范##金钟云#我想起范跟云云了，只是忽然间的，好想你们@金起范 @Yesung110684 http://t.cn/8kRRNOT
123949	23.1593	113.25669	广东 广州	鹿八歲是柠檬的菜_	2014/5/2 0:00	0:00:00	1	f	2536150062	74	79	2763	Tue Nov 15 14:53:08 +0800 2011		3.76789E+15	#SuperJunior##金起范##金钟云#我想起范跟云云了，只是忽然间的，好想你们@金起范 @Yesung110684 http://t.cn/8kRRNOT
187238	23.6644	113.19917	广东 清远	鹿蛙儿	2014/5/2 0:00	0:00:00	18	f	3185962460	288	211	560	Sat Feb 09 21:16:34 +0800 2013		3.76823E+15	转发微博
109722	23.104	113.80899	广东 东莞	妈咪爱晨轩	2014/5/2 0:00	0:00:00	19	f	2897228964	2055	1224	593	Sun Jul 08 00:18:52 +0800 2012	lovechenxuanbaby	3.76823E+15	我刚刚为“小泽妍别怕，爸爸还你一个健康的肝脏！”献出自己的爱心，每份微薄的力量都可以点亮被救助者的希望之光，共同伸出援助之手，让微博充满爱。http://t.cn/Rhs1sm7
53380	23.01248	113.10358	广东 广州	没智商de小星星	2014/5/2 0:00	0:00:00	1	f	3877059420	90	178	1549	Sun Oct 27 16:19:36 +0800 2013		3.76735E+15	转发微博
73193	23.01248	113.10358	广东 广州	没智商de小星星	2014/5/2 0:00	0:00:00	1	f	3877059420	89	178	1549	Sun Oct 27 16:19:36 +0800 2013		3.76735E+15	转发微博
786	22.611	113.063	广东 江门	淼淼斯密达	2014/5/2 0:00	0:00:00	7	f	2109483505	425	434	1121	Wed Apr 27 23:56:33 +0800 2011		3.76236E+15	我拍了段MV，欢迎围观。点此播放>>http://t.cn/RhdCJyk（通过 #美拍# 录制）
47450	22.93248	113.65188	广东 广州	沫沫liz	2014/5/2 0:00	0:00:00	1	f	1900450333	227	395	740	Thu Dec 23 09:51:38 +0800 2010		3.76626E+15	累??????
69182	22.94893	113.94344	广东 广州	陌生城市里住着一个熟悉的影	2014/5/2 0:00	0:00:00	1	f	2012273635	242	345	429	Mon Mar 07 16:52:00 +0800 2011	lytwyh	3.75107E+15	转发微博
165384	23.27495	113.20856	广东 广州	墨瞳25	2014/5/2 0:00	0:00:00	1	m	2577621514	104	139	312	Thu Dec 01 20:57:36 +0800 2011		3.76745E+15	@Callie蔡
81551	23.10726	113.31562	广东 深圳	娜年的碎碎念	2014/5/2 0:00	0:00:00	3	f	1674707344	2557	250	430	Thu Apr 19 13:23:32 +0800 2012	yuanna123	3.76812E+15	心情不好 所有倒霉的事都跟着一起來??
123971	23.10726	113.31562	广东 深圳	娜年的碎碎念	2014/5/2 0:00	0:00:00	3	f	1674707344	2559	250	431	Thu Apr 19 13:23:32 +0800 2012	yuanna123	3.76838E+15	转发微博
31532	22.66536	114.02317	广东 深圳	南山天下	2014/5/2 0:00	0:00:00	3	m	1804941255	44	76	316	Sun Aug 29 12:56:25 +0800 2010		3.76804E+15	万里通APP专享，点评美食团购升级满50返10元！http://t.cn/RP3A5gR 
8922	22.5683	113.8998	广东 深圳	你你伟纯	2014/5/2 0:00	0:00:00	3	f	2101173347	57	59	334	Sat Apr 23 07:05:12 +0800 2011		3.76802E+15	跟她们两个人住久了真的会死人 http://t.cn/8Fo4WHw
25905	22.6475	113.82434	浙江 宁波	飘爱你一生不变	2014/5/2 0:00	0:00:00	2	f	1454927437	1201	775	10828	Mon Mar 14 19:15:55 +0800 2011	dicky5210	3.76821E+15	【节能缓堵 拼车同行】我在微拼车“万元礼包随心抢”活动中夺得超值大礼包一份，话费、油卡惊喜不断。不用羡慕，加入微拼车V车主联盟，分享空位分享爱，下一个幸运者就是你！
81545	23.09362	113.26326	广东 珠海	丿__Y	2014/5/2 0:00	0:00:00	4	m	2270463751	86	232	77	Tue Jul 26 19:53:54 +0800 2011		3.76787E+15	轉發微博
81556	23.13664	113.28125	广东 广州	平辈论交	2014/5/2 0:00	0:00:00	1	m	3152807841	19	59	165	Thu Nov 22 09:58:44 +0800 2012		3.71889E+15	[心]
67269	23.01317	113.76782	广东 东莞	琪琪Baby妈咪	2014/5/2 0:00	0:00:00	19	f	1752114680	309	71	1334	Tue Jun 08 10:15:46 +0800 2010	zixuanbabylove	3.76776E+15	@Dragon--龍 @大熙熙de麻麻 @淑仪唯愛邓天使 中中中
109718	23.01317	113.76782	广东 东莞	琪琪Baby妈咪	2014/5/2 0:00	0:00:00	19	f	1752114680	308	71	1334	Tue Jun 08 10:15:46 +0800 2010	zixuanbabylove	3.76776E+15	@Dragon--龍 @大熙熙de麻麻 @淑仪唯愛邓天使 中中中
123953	23.17338	113.32813	广东 湛江	邱惠玲IOU	2014/5/2 0:00	0:00:00	8	f	1849336774	406	494	311	Mon Oct 11 16:35:07 +0800 2010		3.767E+15	我捡的，到底是不是你的呢？?????? http://t.cn/R7y3LBg
171291	23.17338	113.32813	广东 湛江	邱惠玲IOU	2014/5/2 0:00	0:00:00	8	f	1849336774	407	494	311	Mon Oct 11 16:35:07 +0800 2010		3.767E+15	我捡的，到底是不是你的呢？?????? http://t.cn/R7y3LBg
25904	22.69338	113.84515	上海	全力以赴sina丶	2014/5/2 0:00	0:00:00	1000	m	3264116805	19	60	333	Sat Feb 09 21:21:04 +0800 2013		3.76597E+15	我分享了@人民日报 的文章 http://t.cn/R7wXsjF
123964	23.19039	113.26053	海外 英国	全球奢侈品品牌包包1	2014/5/2 0:00	0:00:00	2	f	3822648737	1837	1152	3399	Sat Sep 28 16:34:00 +0800 2013		3.76829E+15	超美dior戴妃五格羊皮系列 ??金扣和银扣全部现货 尺寸：24cm. 秋冬绝美百搭 ?原单品质 ??欢迎专柜验货！??以下全部限量现货即发 需要细节图请联系我噢[愉快][愉快][发红包][发红包]微信1390285767
166656	23.19039	113.26053	海外 英国	全球奢侈品品牌包包1	2014/5/2 0:00	0:00:00	2	f	3822648737	1837	1151	3399	Sat Sep 28 16:34:00 +0800 2013		3.76829E+15	超美dior戴妃五格羊皮系列 ??金扣和银扣全部现货 尺寸：24cm. 秋冬绝美百搭 ?原单品质 ??欢迎专柜验货！??以下全部限量现货即发 需要细节图请联系我噢[愉快][愉快][发红包][发红包]微信1390285767
69183	22.997	113.888	广东	雀仔TACO	2014/5/2 0:00	0:00:00	1000	f	2115136420	206	103	2238	Wed Jul 27 15:26:52 +0800 2011		3.76811E+15	近日来，用脑过度，Now～只想好好合阵！[睡觉][睡觉][睡觉] http://t.cn/R7tfzZ9
117715	23.1593	113.25669	重庆 开县	睿睿儿0806	2014/5/2 0:00	0:00:00	34	f	2933601651	140	137	182	Wed Aug 29 10:07:14 +0800 2012		3.7627E+15	上帝之子 ?我正在收听[Songs.PK] 05 - Dhoom 3 - Bande Hain Hum Uske的单曲《[Songs.PK] 05 - Dhoom 3 - Bande Hain Hum Uske》?http://t.cn/Rhg0CVN（来自@QQ音乐）
5726	22.547	113.385	广东 中山	晟北Fish-eye	2014/5/2 0:00	0:00:00	20	m	2134554053	373	263	2040	Sat May 14 18:52:47 +0800 2011		3.76733E+15	//@孙渣: 对，我就在想怎么形容才好//@博博博ls: 扁平化～
8921	22.58521	113.86325	海南 三亚	苏显华90	2014/5/2 0:00	0:00:00	2	f	2429599252	334	227	1214	Wed Sep 28 16:58:26 +0800 2011		3.76766E+15	??
180056	23.2898	113.8376	广东 广州	酥鹿_	2014/5/2 0:00	0:00:00	1	f	2723657111	1156	1415	3523	Tue May 01 15:40:29 +0800 2012		3.76709E+15	[躁狂症][躁狂症]//@喋喋鹿v:啊啊啊[躁狂症]让我情何以堪[躁狂症]//@鹿歪腻:帅爆了[躁狂症][躁狂症] //@软鹿少女:[躁狂症][躁狂症]我是腿毛
92886	23.13168	113.33136	北京 东城区	太阳的女人心	2014/5/2 0:00	0:00:00	1	f	2916322751	462	218	521	Fri Aug 10 18:28:55 +0800 2012		3.76822E+15	又一次满满的祝福！ http://t.cn/zRTqB9L
52633	22.99032	113.01181	广东 深圳	泰迪熊吴昊志在四方	2014/5/2 0:00	0:00:00	3	m	2096519452	809	483	2401	Mon Apr 11 00:47:36 +0800 2011		3.76755E+15	空中飞人
166652	23.308	113.33695	广东 广州	兔子xian	2014/5/2 0:00	0:00:00	1	f	3106204393	37	30	189	Tue Nov 13 11:22:56 +0800 2012		3.76812E+15	冬天里 手脚冰冷的亲们注意啦！~~
4883	22.5121	113.33568	香港 中西区	王红winifred	2014/5/2 0:00	0:00:00	2	f	2695641084	32703	273	1017	Tue Jan 31 10:50:14 +0800 2012		3.76788E+15	我是真的把学员们逼急了吗？[委屈]这是一位担任咖啡师技能大赛的评委，除了有一家@中山市石岐悦恒咖啡体验馆 ，还有一个咖啡西点培训机构，为了能将婚礼的美好元素融入咖啡的情感中，她二话不说的再以学生的身份坐到了课室当中～她不得不让我佩服，说到做到，坚持，虚心，空杯心态[good]@王红婚礼学院
106573	23.118	113.62999	湖南 衡阳	文慧。	2014/5/2 0:00	0:00:00	4	f	1776456533	57	77	19	Fri Jul 16 10:41:30 +0800 2010		3.71392E+15	金秀贤你来管我啊。[嘻嘻][嘻嘻]
117720	23.17239	113.23842	海外 其他	我爱天使exo	2014/5/2 0:00	0:00:00	16	f	3429744520	82	182	87	Tue May 07 19:45:56 +0800 2013		3.76483E+15	转发微博
123951	23.13954	113.31535	广东	我就是柠檬哈哈哈	2014/5/2 0:00	0:00:00	1000	f	3626071724	52	98	136	Wed Jul 31 00:34:50 +0800 2013		3.72098E+15	女神生快
117708	23.14913	113.2337	北京 崇文区	我一直是6号	2014/5/2 0:00	0:00:00	3	m	1807515533	2051	932	4578	Sat Jan 01 22:11:28 +0800 2011	horiahao	3.7608E+15	我更新了微博iPad客户端V3.6.0啦！全新支持iOS8~①新增会员购买功能；②新增综合搜索功能；③新增小清新背景图。快来和我一起体验吧！App store下载地址：http://t.cn/h98rBI
48818	22.8035	113.80568	广东 广州	吴世勋sulli	2014/5/2 0:00	0:00:00	1	f	3990281150	60	81	107	Tue Jan 21 21:53:50 +0800 2014	WesMz	3.76316E+15	@努力努力再努力x 生日快乐！饭们永远爱你！撒拉嘿！[爱你][爱你]??
70756	23.02865	113.99147	广东 东莞	夕才酱	2014/5/2 0:00	0:00:00	19	f	2860994350	66	55	381	Thu Jul 05 14:15:52 +0800 2012		3.76695E+15	马克
114506	23.02865	113.99147	广东 东莞	夕才酱	2014/5/2 0:00	0:00:00	19	f	2860994350	65	55	382	Thu Jul 05 14:15:52 +0800 2012		3.76839E+15	老娘今天不上班[doge]
39234	22.79793	113.49207	广东 广州	嘻嘻_我是雨欣	2014/5/2 0:00	0:00:00	1	f	3627632817	110	169	2659	Fri Aug 09 19:52:22 +0800 2013		3.76741E+15	转发微博
39627	22.89231	112.88002	广东 佛山	夏__晴	2014/5/2 0:00	0:00:00	6	f	2859042474	656	432	49	Tue Jul 03 13:33:10 +0800 2012		3.76766E+15	@-陈晓莹y @黑妹_小牙齿 
52634	22.9862	113.03616	广东 佛山	想念YOU镐的微笑	2014/5/2 0:00	0:00:00	6	f	3875240190	16	28	64	Thu Oct 31 11:11:14 +0800 2013		3.72203E+15	转发微博
5725	22.5306	113.36443	广东 中山	小笨vs笨	2014/5/2 0:00	0:00:00	20	f	2787053084	635	1240	1184	Mon Apr 30 09:58:05 +0800 2012		3.7678E+15	在这个世上不要过分依赖任何人，因为即使是你的影子都会在某些时候离开你。 http://t.cn/R75Zb9c
