nFID,lat,lon,location,name,last_at,time,city,gender,id,followers_count,friends_count,statuses_count,created_at,domain,status_id,status_text
7699,22.59326,113.84493,广东 广州,華華v楊,2014/7/6 0:00,0:00:00,1,f,1862387981,1356,32,383,Sun Nov 14 13:52:04 +0800 2010,,3.76423E+15,来看看我拍的MV：“困了，睡一觉再说☺☺☺”，点此播放>>http://t.cn/R7vG6of（通过 #美拍# 录制）
8086,22.51284,113.93681,广东 深圳,爵爷看台,2014/7/6 0:00,0:00:00,3,m,2050783491,1742,97,11485,Mon Mar 28 12:20:09 +0800 2011,,3.7701E+15,阿弥陀佛！
8087,22.51129,113.9335,海外 澳大利亚,鳖蛆,2014/7/6 0:00,0:00:00,7,m,2850576385,895,263,12365,Tue Jul 03 20:23:30 +0800 2012,,3.77034E+15,洗澡等水热的时间换了个头像ˊ_>ˋ@咻咻寶寶会变成学霸 你看如何
12828,22.56069,114.05544,广东 深圳,小恩的移动城堡,2014/7/6 0:00,0:00:00,3,f,1988926393,319,166,688,Thu Feb 24 21:22:52 +0800 2011,,3.76987E+15,霜降过后，深圳迎来舒爽的气候。
12830,22.53157,114.05329,其他,名为安利中转站的卡七岁,2014/7/6 0:00,0:00:00,1000,f,1673935993,2502,432,10383,Mon Sep 13 22:01:41 +0800 2010,okeneko,3.77044E+15,不想写作文—— http://t.cn/R7a3DiI
12831,22.5671,114.04509,广东 深圳,nancy范,2014/7/6 0:00,0:00:00,3,f,1726660841,96,226,368,Wed Apr 07 23:30:41 +0800 2010,,3.76895E+15,我在@蝗虫团购 购买了【蝗虫团购定制隔尿床垫(包邮)】，快来看看吧！ http://t.cn/R7tTmPz 更多秒杀爆款，尽在购物频道！http://t.cn/RPOAYr0
12832,22.5327,114.0418,广东 深圳,美衣搭搭配,2014/7/6 0:00,0:00:00,3,f,1896082041,412,200,90,Sun Mar 09 15:42:31 +0800 2014,,3.73549E+15,转发微博
12833,22.5224,114.03199,广东 深圳,那一片花海90,2014/7/6 0:00,0:00:00,3,f,3803769113,45,77,153,Tue Sep 17 16:06:27 +0800 2013,,3.76952E+15,你感觉受到的上海，只是你当初给予的十分之一罢了
25356,22.71932,113.92345,广东 深圳,麽嚒麽嚒麽哒,2014/7/6 0:00,0:00:00,3,m,2595389741,38,67,525,Mon Jan 16 12:40:11 +0800 2012,,3.77043E+15,星爷是我们这代人的精神支柱，对喜剧之王心存感激的是，他把最完整的人生和最美好的结局留给我们去回忆。告诉我们要心存希望，男主角告诉我们即使过程有多艰难也无所谓，携着希望的人总会找到幸福的出口。在这个旅程中，不管发生什么事情，总会有一个懂你的人，一直陪着你，直到放飞彼此的梦想为止。
29138,22.73237,114.00449,福建 福州,在哪-阿庆嫂,2014/7/6 0:00,0:00:00,1,m,2548690237,59,23,221,Sun May 26 12:51:17 +0800 2013,,3.76846E+15,好可惜，这样是我最好的的选择！！ http://t.cn/R7ck25q
29139,22.61584,114.03884,北京 东城区,深圳无痕接发冰瀑CT,2014/7/6 0:00,0:00:00,1,m,5071062394,81739,877,394,Fri Mar 14 14:13:54 +0800 2014,,3.77029E+15,#深圳无痕接发#你们快来盗图吧，反潮制作 http://t.cn/8kRRluw
29140,22.66404,114.02251,广东 深圳,陳x傑,2014/7/6 0:00,0:00:00,3,m,1783327247,771,301,4528,Sat Jul 24 16:57:01 +0800 2010,cj21439151,3.76959E+15,哇，这个是在欢乐海岸吧！
29142,22.63588,114.03718,湖北 黄冈,-啊喂薇-,2014/7/6 0:00,0:00:00,11,f,2679268242,2427,466,1937,Sun Jan 22 17:14:27 +0800 2012,,3.77042E+15,真的好美[心]//@新浪娱乐:原来林妹妹那个年代就流行空气刘海了……好美！[心]
31948,22.82501,113.1158,广东 佛山,12只狼崽and凡灿,2014/7/6 0:00,0:00:00,6,f,3183714900,99,138,537,Thu Feb 07 21:37:17 +0800 2013,,3.77042E+15,牛灿，神同步[呵呵][呵呵] http://t.cn/R7aEqPI
32745,22.78813,113.29442,广东 佛山,模式全开的珲少,2014/7/6 0:00,0:00:00,6,m,1768879512,419,206,947,Sat Jul 03 23:46:44 +0800 2010,zhangshunhui,3.73655E+15,妈蛋上海白去了！//@孙渣:盛大壕……//@ComiCon15八月17日世博展览馆: 一群人坐着LL去张江上班……//@-岚舞-: 阿尼被LL妹子们占领了……//@洗澡不出热水: 阿尼你现在心情如何了啊阿尼(σﾟ∀ﾟ)σ
32746,22.77685,113.27307,广东 佛山,波菜-kun,2014/7/6 0:00,0:00:00,6,m,2126688292,225,180,698,Sun May 01 23:37:31 +0800 2011,petrd,3.75086E+15,分享图片
32747,22.77019,113.26922,广东 佛山,Easter-琳,2014/7/6 0:00,0:00:00,6,f,2848701850,494,106,345,Mon Jun 25 15:32:20 +0800 2012,,3.76714E+15,[来][偷乐][得意地笑]//@galaxy_yanyan: 喝碗猪红粥冷静一下先[ali抱一抱]//@爱凡_-: #吴亦凡#小王子看过来[来]
32748,22.83379,113.26059,广东 佛山,多拉G梦2010,2014/7/6 0:00,0:00:00,6,f,1896867524,68,81,190,Sat Dec 18 08:59:52 +0800 2010,,3.7648E+15,@菜虫网顺德站-顺德团购 寻日落单，今朝就到，便靓正！
34236,22.81062,113.4111,广东 肇庆,未曾努力过的----林先森,2014/7/6 0:00,0:00:00,12,m,2595425195,116,307,54,Mon Jan 30 01:49:40 +0800 2012,,3.77E+15,睡多久都不觉得够。 😱 😱 http://t.cn/R7c2rLD
35840,22.77088,113.6973,福建 漳州,椰子-tomato,2014/7/6 0:00,0:00:00,6,f,1959469194,106,46,624,Tue Nov 15 12:52:47 +0800 2011,,3.7689E+15,你慢慢成长，我乐意驻足，静候你的萌芽😏 http://t.cn/R7I2kbF
35841,22.83606,113.67657,广东 东莞,为房子奋斗的女汉子,2014/7/6 0:00,0:00:00,19,f,1660201132,195,232,1695,Wed Nov 11 21:33:51 +0800 2009,,3.76838E+15,早上七点就醒了，我真的太浪费时间了，这么美好的时光，竟然在床上翻来覆去，其实还有昨天挺开心的，觉得努力终于有了回报
43685,22.89506,112.87743,广东 广州,#NAME?,2014/7/6 0:00,0:00:00,1,f,3089850233,114,337,117,Sat Nov 03 08:59:53 +0800 2012,,3.76972E+15,http://t.cn/R7iVrU5 
45061,22.84866,113.249,广东 佛山,呆呆大木頭Woods,2014/7/6 0:00,0:00:00,6,m,2332587814,126,124,1353,Tue Aug 23 11:11:28 +0800 2011,,3.72912E+15,#我爱小米平板#听说它的游戏性能比台式机更强喔，192核图形处理器，还支持OpenGL 4.4等仅用于PC的最新游戏技术，用它玩游戏一定刺激极了！@小米平板 ，分享7月8日开放购买预约地址 http://t.cn/Rvr30Vu
45062,22.87299,113.21939,广东 广州,用户ewcbdna5pz,2014/7/6 0:00,0:00:00,1,f,2256466253,14,72,2,Mon Mar 10 08:49:13 +0800 2014,,3.72912E+15,今天好累 http://t.cn/Rvr3W5z
47086,22.92955,113.36369,广东 广州,jojo_yang8,2014/7/6 0:00,0:00:00,1,m,3315798963,41,39,1235,Mon Apr 22 23:12:39 +0800 2013,,3.77031E+15,得到5星以上装备
47088,22.91679,113.36704,广东 广州,Doir_樂小凱,2014/7/6 0:00,0:00:00,1,m,2452191457,485,187,762,Mon Nov 07 20:51:25 +0800 2011,,3.77051E+15,闭着眼睛等天亮 、同事赛车一样的呼噜声我也是听得醉了[笑cry][笑cry][拜拜][拜拜]
47089,22.93464,113.38549,广东 广州,DAISYbbbbbbo,2014/7/6 0:00,0:00:00,1,f,2638770233,574,480,1959,Wed Feb 29 14:17:50 +0800 2012,,3.77042E+15,单身就这样了 http://t.cn/8ke1Hc4
47090,22.93467,113.35203,广东,卢嘉辉KK,2014/7/6 0:00,0:00:00,1000,m,1232255845,16,17,30,Fri Mar 23 23:36:30 +0800 2012,,3.73494E+15,免流量使用热门APP？100%中奖？大奖3000元？一个活动满足你三个愿望，还等什么？马上进入猛戳http://t.cn/Rvr30J0 ，参加“免流量，齐分享”活动吧！ 我在:http://t.cn/RPLYj14
50918,22.85366,113.83916,广东 东莞,coveoo,2014/7/6 0:00,0:00:00,19,m,3480612861,27,225,317,Tue Jul 16 11:34:55 +0800 2013,,3.76953E+15,我将@金池jinchi矜持  的歌曲 http://t.cn/R7M4DIj设置为我的背景音乐
55012,22.95988,113.09815,广东 广州,mmmm猫女,2014/7/6 0:00,0:00:00,1,f,3040790677,81,18,149,Sun Jan 06 22:47:35 +0800 2013,,3.7704E+15,谁来煽我两巴掌吧
55013,23.02017,113.121,广东 佛山,陈怡怡怡蓉,2014/7/6 0:00,0:00:00,6,f,2702849313,55,45,219,Sun Apr 08 21:03:54 +0800 2012,,3.77021E+15,用明天的钱，圆今天的梦！ 信用贷款请与我联系：13242742883 陈小姐！
57096,23.02718,113.11988,广东 深圳,LiuRn-,2014/7/6 0:00,0:00:00,3,f,1917385792,639,280,121,Tue Jan 11 10:51:04 +0800 2011,,3.76713E+15,最后亮了哈哈哈哈
57098,23.03892,113.16602,广东 湛江,朱明英发点小脾气闹点小情绪,2014/7/6 0:00,0:00:00,8,f,2960698533,133,96,169,Mon Jul 01 12:40:03 +0800 2013,,3.76657E+15,痛并快乐着。 http://t.cn/z8bnvOZ
59630,22.99266,113.75052,广东,Elaine喜欢听快歌儿,2014/7/6 0:00,0:00:00,1000,f,3887184184,72,218,399,Sun Nov 03 10:37:29 +0800 2013,,3.77039E+15,转发微博
65108,23.06134,113.05224,北京 朝阳区,河狸家美甲师--纯纯,2014/7/6 0:00,0:00:00,5,m,3310576172,71,57,143,Wed May 08 15:22:46 +0800 2013,,3.76952E+15,千鸟格 http://t.cn/z8AVgN7
65643,23.10667,113.12307,广东 佛山,Keven-JJ,2014/7/6 0:00,0:00:00,6,m,2035454380,277,303,1315,Thu Mar 24 19:12:07 +0800 2011,,3.76609E+15,爱你的心永远都在…我一直都在！ http://t.cn/z8AVUBb
65645,23.11212,113.10011,广东 佛山,GXQin_,2014/7/6 0:00,0:00:00,6,f,2113033134,277,207,1246,Sun Apr 24 23:40:35 +0800 2011,,3.77049E+15,凌晨三点十分，，还是毫无睡意，，现在连我的上眼皮和下眼皮都不相爱了………… http://t.cn/R7aFsnS
65646,23.114,113.12845,广东 佛山,LONG浅小沫,2014/7/6 0:00,0:00:00,6,f,5105601583,15,141,124,Tue Apr 08 09:50:41 +0800 2014,,3.74608E+15,转发微博
65648,23.04789,113.12239,广东 佛山,loveZ_ZGP,2014/7/6 0:00,0:00:00,6,f,2117706052,196,297,348,Thu Apr 28 00:05:13 +0800 2011,vanityshan,3.76572E+15,路是自己选择的，不要后悔当初de决定[給力][給力][給力][給力] http://t.cn/z8A1Smr
68021,23.07312,113.23648,广东 汕尾,only庆兴,2014/7/6 0:00,0:00:00,15,m,2140035383,173,102,402,Tue May 24 16:55:39 +0800 2011,,3.76618E+15,[熊猫][熊猫] http://t.cn/R72dbBD
68025,23.08066,113.23062,广东 广州,sherlingrin,2014/7/6 0:00,0:00:00,1,f,1877715361,531,264,1526,Mon Nov 29 18:51:23 +0800 2010,slshaoling,3.76929E+15,•凶•残•猛•   该hea嘎都已经hea够囖，下一步应该知道点做，流浪去🚀
72378,23.07239,113.2778,广东 广州,好昵称被狗取完了,2014/7/6 0:00,0:00:00,1,m,2392417643,73,240,471,Sat Oct 01 19:16:43 +0800 2011,,3.77034E+15,一群逗比，🔫🔫💣💣
72379,23.12316,113.27909,广东 广州,啊小草namexiaoxing,2014/7/6 0:00,0:00:00,1,m,3460169502,134,878,1653,Mon May 13 08:10:54 +0800 2013,,3.76247E+15,我在看【看官注意：笑死不负责！】，分享给你，快来看！ http://t.cn/RhdgGYm http://t.cn/RhLYwkM
72380,23.03235,113.28576,广东 广州,#NAME?,2014/7/6 0:00,0:00:00,1,f,2449597382,247,231,1276,Thu Oct 06 15:41:00 +0800 2011,,3.77038E+15,[心][心][心][心][心][心][心]
72381,23.08659,113.32348,广东 茂名,Grace-菜,2014/7/6 0:00,0:00:00,9,f,1989621917,356,206,2609,Fri Feb 25 11:41:10 +0800 2011,,3.77035E+15,转发微博
72383,23.13701,113.29579,广东 广州,卡尔冯都柏-爱执信,2014/7/6 0:00,0:00:00,1,m,1354940852,137,228,479,Thu Mar 24 13:10:47 +0800 2011,,3.76493E+15,分开，也许是我此刻最佳的选择。女神，保重。 试听地址>>> http://t.cn/R7h1iTb (通过#唱吧#录制)
72385,23.0948,113.2561,广东 清远,个个用户名都被占了,2014/7/6 0:00,0:00:00,18,m,2610597191,324,143,2089,Wed Feb 08 12:24:28 +0800 2012,,3.7703E+15,艹、说这话出来的球迷，不觉得自己很傻逼吗[怒] //@哦呢SAMA:垃圾球迷，只会骂，你tm你行你上啊！没素质！扑街！你们父母都炸了！！[怒][怒][怒]
72386,23.0251,113.3031,广东 广州,唐文斌-同学,2014/7/6 0:00,0:00:00,1,m,2671955451,85,117,266,Mon Mar 19 13:50:35 +0800 2012,,3.76393E+15,期待。
72387,23.08069,113.2722,其他,#NAME?,2014/7/6 0:00,0:00:00,1000,m,3545301087,7,33,13,Thu Jul 11 12:45:36 +0800 2013,,3.75068E+15,分配到海南省军区，两年后的我将会经历一个怎样的人生转折点呢？很期待哩～ http://t.cn/RhyU1dE
72388,23.13845,113.23477,广东 广州,Ryan1245,2014/7/6 0:00,0:00:00,1,m,1756492731,522,448,2415,Fri Jun 11 00:49:58 +0800 2010,,3.76893E+15,我刚换了“雨夜”套装，好漂亮，你们都快来试试！ http://weibo.com/home?skinId=skin055
72389,23.09542,113.32965,广东 广州,麦牙糖_M,2014/7/6 0:00,0:00:00,1,f,1746423925,551,284,1736,Mon May 24 23:29:02 +0800 2010,,3.7653E+15,我刚拍了一段MV，点开看看>>http://t.cn/R7zmqOn（通过 #美拍# 录制）
72390,23.11389,113.2463,广东 广州,WQY哟哟,2014/7/6 0:00,0:00:00,1,f,3245332455,60,279,72,Mon Mar 18 17:01:01 +0800 2013,,3.76916E+15, //@陈坤:转发微博
72391,23.12527,113.25843,广东 广州,湯靄瑤_cat,2014/7/6 0:00,0:00:00,1,f,1960628111,1188,703,8363,Thu Feb 10 14:50:15 +0800 2011,catcat901107,3.76861E+15,10斤10斤的做，真的忙不过来了[晕]但我仍然很开心亲们的支持[good]继续呗！ http://t.cn/R7qO7L0
72392,23.13779,113.26136,广西 桂林,胡乖乖乖,2014/7/6 0:00,0:00:00,3,f,1848112675,348,149,162,Fri Nov 05 12:56:04 +0800 2010,,3.76174E+15,@DADA屈静玟 @闹饭天 @Wangting_lele 看来要练习下用神器照相的功力
72393,23.0883,113.26229,广东 佛山,SiulamBeautyLife,2014/7/6 0:00,0:00:00,6,f,5067467051,1947,1759,2822,Tue Mar 11 23:11:03 +0800 2014,,3.77029E+15,上次吃了捞的，这次吃汤的😁～～不过依旧每次都吃不完😭～～ 
72394,23.09216,113.2898,广东 广州,HiP妞,2014/7/6 0:00,0:00:00,1,f,1967662512,124,281,173,Tue Mar 01 16:45:05 +0800 2011,,3.73799E+15,马上就要回家了，想想还是挺激动的，不过感觉这边还有好多没有处理完的事情，还有好多放不下……不想那么多了，简单点 http://t.cn/RPfVHXT
72395,23.10384,113.25068,其他,闺中蜜友招代理,2014/7/6 0:00,0:00:00,1000,f,2177894371,162,89,858,Tue Jun 14 15:24:33 +0800 2011,,3.7421E+15,应该是赚大了[偷笑][偷笑][偷笑][偷笑] http://t.cn/RPNH2vK
72397,23.04113,113.32327,广东 广州,CCC小娟,2014/7/6 0:00,0:00:00,1,f,2439771920,140,124,161,Mon Oct 03 12:04:08 +0800 2011,,3.76416E+15,#微博桌面2015# 4.2版上线啦！新版使用了全新的聊天界面，让互动更精彩，聊天气泡也支持换肤了，赶快把皮肤换起来吧！同时“随便看看”频道进行了内容优化，可以在这里找到当前最热门话题！还在等什么？赶紧来下载吧>> http://t.cn/8FMvdop
81616,23.1357,113.34102,广东 广州,黄玲玲L,2014/7/6 0:00,0:00:00,1,f,3132651185,82,203,251,Wed Nov 21 09:22:41 +0800 2012,,3.72912E+15,一个连你是否开心还是难过都察觉不出来的男人真的爱你吗？ http://t.cn/8kRR75b
81618,23.13405,113.33849,广东 汕尾,小熊星座-帝福,2014/7/6 0:00,0:00:00,15,m,2106259124,484,369,1895,Tue Apr 19 20:04:16 +0800 2011,lc32,3.76881E+15,其实我不想的……
81620,23.11796,113.40131,广东 清远,咚咚16,2014/7/6 0:00,0:00:00,18,f,1760765063,65,228,30,Tue Dec 07 22:19:37 +0800 2010,,3.76568E+15,转发微博
81621,23.04139,113.38256,广东 广州,開勁李,2014/7/6 0:00,0:00:00,1,m,1945799395,1042,699,1556,Tue Feb 01 17:45:00 +0800 2011,kaijinglee,3.77044E+15,😷 要把最近积累的负能量都给泄了 …… 😄
81622,23.11012,113.41291,其他,丁老掌柜,2014/7/6 0:00,0:00:00,1000,m,2723413922,304,529,651,Wed Feb 22 19:09:17 +0800 2012,,3.77044E+15,有个朋友买了许双军很多把壶，找自己名字谐音“其中”找许双军写乐在其中四字。半年了终于写了，又巧李芳的壶也由许双军刻字乐在其中，一起开壶，寄养，壶架又多个成员了。
81628,23.0554,113.39129,广东 广州,醉殇蔷薇,2014/7/6 0:00,0:00:00,1,f,3061934843,363,334,812,Wed Oct 24 20:07:45 +0800 2012,qu1228,3.77006E+15,1号[哈哈][哈哈][哈哈]@Chewie拾月
81630,22.98925,113.34567,其他,牵强笑容的背后,2014/7/6 0:00,0:00:00,1000,f,2414945301,62,99,252,Thu Nov 10 10:15:17 +0800 2011,,3.76138E+15,转发微博
90843,23.10437,113.53581,广东 广州,没那么坚强---,2014/7/6 0:00,0:00:00,1,f,5189235851,37,91,351,Sun Jun 22 18:32:01 +0800 2014,,3.7704E+15,😊😊蛋糕很好吃，我做的菜也很好吃！！！
90844,23.1072,113.4587,新疆 乌鲁木齐,杨小熹-,2014/7/6 0:00,0:00:00,1,f,3502356007,303,145,2764,Wed Jul 03 18:13:37 +0800 2013,,3.76988E+15,转发微博
90847,23.1151,113.4393,海南 海口,每天都比昨天更辽阔,2014/7/6 0:00,0:00:00,1,f,2571914252,95,125,452,Tue Nov 29 20:59:20 +0800 2011,,3.7706E+15,今天刚开始已经是负能量满满…上一碟正能量大餐可好…
93672,23.10084,113.5552,广东 广州,瘦瘦_肉肉,2014/7/6 0:00,0:00:00,1,m,2252359645,2,79,6,Fri Jan 03 15:33:48 +0800 2014,,3.74285E+15,执子之手，与子偕老！[爱心传递]//@笨_拉拉:感谢你出现在我的生命中，我们要一直幸福下去哦！[爱你][爱你][爱你]
93673,22.99829,113.61899,河南 许昌,北斗杂志社,2014/7/6 0:00,0:00:00,10,f,2686793795,203,153,231,Tue Apr 17 21:40:13 +0800 2012,,3.7706E+15,[微风]常怀感恩之心。
94705,23.08216,113.69366,广东 广州,肖karen-en,2014/7/6 0:00,0:00:00,1,f,1931551955,382,299,1033,Sun Jan 23 13:14:55 +0800 2011,xkaren,3.77043E+15,谢谢健宝陪我去武协训练还给我买水喝，可是你不会知道我可能就是喝了这个胃就有点不舒服了。[泪流满面]谢谢那个大笨蛋给我送棉花糖跑了两趟，欠你一个棉花糖自拍[羞嗒嗒]，每次训练完全身都软绵绵，好累。虽然我出拳没什么力，但我会努力练习。[笑哈哈]
94706,23.0791,113.71786,广东 东莞,小海鱼哎呀呀呀呀,2014/7/6 0:00,0:00:00,19,f,1880005292,443,104,7203,Wed Nov 17 22:02:00 +0800 2010,,3.76954E+15,love song~~
94707,23.0419,113.72947,广东 东莞,BabyO_ofei,2014/7/6 0:00,0:00:00,19,f,1741204764,641,312,1658,Thu May 13 19:39:22 +0800 2010,sophybaby,3.77007E+15,来看看我拍的MV：“跳吧鬼靈精🙈🙉🙊”，点此播放>>http://t.cn/R76Fte6（通过 #美拍# 录制）
102875,23.17858,113.23991,广东,李俐娴-,2014/7/6 0:00,0:00:00,1000,f,1780364874,236,193,234,Tue Sep 21 12:46:54 +0800 2010,,3.77001E+15,今天感觉很烦，只想尽快调节心情😊 http://t.cn/8ke1Hc4
102876,23.11212,113.10011,广东 佛山,GXQin_,2014/7/6 0:00,0:00:00,6,f,2113033134,279,207,1246,Sun Apr 24 23:40:35 +0800 2011,,3.77049E+15,凌晨三点十分，，还是毫无睡意，，现在连我的上眼皮和下眼皮都不相爱了………… http://t.cn/R7aFsnS
102877,23.1593,113.25669,广东 广州,奢侈复刻批发,2014/7/6 0:00,0:00:00,1,f,5088595680,1180,2000,3766,Mon Mar 31 21:57:21 +0800 2014,,3.77056E+15,品牌：巴宝莉 品质：高端 颜色：图片3色 尺码：S M（披肩+短裤套装） 面料：呢子 批价：430¥ 配送：礼品袋+发票[调皮] 微信：854271404
102882,23.1557,113.20809,广东 广州,伸个喵爪,2014/7/6 0:00,0:00:00,1,f,1831414314,66,78,77,Sun Oct 24 21:57:29 +0800 2010,,3.7678E+15,[吃惊][吃惊][吃惊][吃惊][吃惊] 我分享了http://t.cn/R7vFWBQ
108235,23.0883,113.26229,广东 佛山,SiulamBeautyLife,2014/7/6 0:00,0:00:00,6,f,5067467051,1947,1759,2824,Tue Mar 11 23:11:03 +0800 2014,,3.77059E+15,我们想抓住的东西总是太多，抓住了就舍不得放下。你能拥有的毕竟是有限的。懂得放弃，并不代表你软弱，它是一种智慧，让你洞察人生万相，有足够放下的勇气。各位早安！
108240,23.15941,113.34513,广东 广州,换日线时差,2014/7/6 0:00,0:00:00,1,f,3901373751,32,45,44,Wed Nov 13 16:59:40 +0800 2013,,3.76972E+15,求学 ，我只想做这个。 http://t.cn/8ke1z8o
108243,23.1852,113.3263,海南 三亚,shinkou丶,2014/7/6 0:00,0:00:00,2,m,2655109043,170,145,801,Sat Mar 10 07:35:17 +0800 2012,,3.76986E+15,明年养一只吧。
108244,23.18607,113.25913,广东 广州,PPG同学,2014/7/6 0:00,0:00:00,1,f,2145672694,303,154,208,Mon May 09 10:04:26 +0800 2011,1010ppg,3.77002E+15,一开心唱饮歌。。。。[爱你][爱你] http://t.cn/zQDtQ1T
108251,23.19612,113.32845,广东 广州,青青青青呐,2014/7/6 0:00,0:00:00,1,f,1769758715,113,161,248,Wed Jul 07 12:28:08 +0800 2010,,3.77058E+15,小伙伴们，快来围观！我已经升级为V6新版微博，简洁的界面带来更流畅的体验。准备好了吗？和我们一起发现新的世界吧！升级猛戳:http://t.cn/R7vgnNI http://t.cn/R7PWmpT
108255,23.12527,113.25843,广东 广州,湯靄瑤_cat,2014/7/6 0:00,0:00:00,1,f,1960628111,1187,703,8363,Thu Feb 10 14:50:15 +0800 2011,catcat901107,3.76861E+15,10斤10斤的做，真的忙不过来了[晕]但我仍然很开心亲们的支持[good]继续呗！ http://t.cn/R7qO7L0
108256,23.16789,113.3175,其他,Miss__陳丶,2014/7/6 0:00,0:00:00,1000,f,2711586094,133,62,401,Wed Feb 08 10:58:47 +0800 2012,,3.76952E+15,哪些气质可以彰显土豪气质？①买144部肾六打麻将，一部肾六做一张牌！②用4G流量看完喜羊羊！③玩腾讯游戏④老太太老爷爷见一个撞一个！⑤收购蓝翔！⑥资助小明上大学，充话费充满！⑦吃炫迈一次四颗！⑧包养郭美美！⑨用爆米花手机堆个20层楼房！⑩喝果粒橙只吃果粒！欢迎补充！ http://t.cn/R7JZTwB
108257,23.10384,113.25068,其他,闺中蜜友招代理,2014/7/6 0:00,0:00:00,1000,f,2177894371,163,89,858,Tue Jun 14 15:24:33 +0800 2011,,3.7421E+15,应该是赚大了[偷笑][偷笑][偷笑][偷笑] http://t.cn/RPNH2vK
108260,23.19032,113.26148,广东,杨振强-11蓓,2014/7/6 0:00,0:00:00,1000,m,2038788927,471,267,1373,Sun May 06 22:48:10 +0800 2012,qq378724534,3.76631E+15,（分享自微淘 衣家人情 的广播） http://t.cn/R7L77CQ
124160,23.18178,113.35664,广东 汕头,EEE李呆勇,2014/7/6 0:00,0:00:00,5,m,3266812262,386,315,230,Sat Apr 13 10:11:04 +0800 2013,,3.77068E+15,刚刚坐地铁，身边坐了一陌生大妈。手机响起，大妈接电话，十分爽朗地对着电话说：啊，我今天晚上没空儿，车子坏了在坐地铁，找了一鸭子很帅的，准备去开房呢！拥挤的车厢瞬间安静……我瞥了一眼身旁的大妈，当我转回脸来的时候，发现全车人都在盯着自己~
124162,23.1151,113.4393,海南 海口,每天都比昨天更辽阔,2014/7/6 0:00,0:00:00,1,f,2571914252,95,125,453,Tue Nov 29 20:59:20 +0800 2011,,3.77064E+15,我想我一定会冲破重重阻碍，趋向完美，最终成为一个我心中的不错的人…
124163,23.19612,113.32845,广东 广州,青青青青呐,2014/7/6 0:00,0:00:00,1,f,1769758715,113,161,252,Wed Jul 07 12:28:08 +0800 2010,,3.77067E+15,转发微博
